UMAP1,UMAP2,UMAP3
-1.181705284118652344e+01,-1.164172172546386719e+01,5.577540397644042969e+00
-9.510000348091125488e-01,1.245274066925048828e+00,2.249633789062500000e+01
1.007566261291503906e+01,-1.116842269897460938e+01,1.000879955291748047e+01
-9.504438638687133789e-01,1.244696617126464844e+00,2.249557304382324219e+01
-1.113725090026855469e+01,-1.183204725384712219e-01,-4.694394111633300781e+00
-1.073757362365722656e+01,-5.558288097381591797e+00,1.088842105865478516e+01
8.464276313781738281e+00,1.786308097839355469e+01,-2.832643508911132812e+00
-5.929637432098388672e+00,1.414367485046386719e+01,-1.484817123413085938e+01
-8.382066726684570312e+00,1.032005786895751953e+01,7.108740806579589844e+00
1.543288516998291016e+01,1.292600917816162109e+01,-4.801251888275146484e+00
-9.497472643852233887e-01,3.570626378059387207e-01,3.191725254058837891e+00
-1.035625076293945312e+01,-8.519083976745605469e+00,-7.953508853912353516e+00
-8.540041923522949219e+00,5.589816570281982422e+00,-3.177171468734741211e+00
4.431300163269042969e+00,-1.510857295989990234e+01,7.979359149932861328e+00
-9.720411300659179688e+00,1.377249240875244141e+01,2.381124019622802734e+00
1.414527130126953125e+01,1.874883842468261719e+01,7.800782680511474609e+00
-3.283001184463500977e-01,1.748638534545898438e+01,1.226624202728271484e+01
2.183722734451293945e+00,7.539801597595214844e+00,-1.304137587547302246e+00
-7.080862998962402344e+00,4.314224720001220703e+00,6.307118415832519531e+00
8.374634742736816406e+00,-1.842480659484863281e+00,1.451276302337646484e+00
-1.872260284423828125e+01,2.104635715484619141e+00,-1.266737818717956543e+00
-6.750115394592285156e+00,1.927401161193847656e+01,-5.226241111755371094e+00
2.793792009353637695e+00,-9.141274452209472656e+00,-1.535014724731445312e+01
1.176366090774536133e+00,-1.182289409637451172e+01,9.124177694320678711e-01
-1.073721027374267578e+01,-5.557914733886718750e+00,1.088836860656738281e+01
4.860002994537353516e+00,1.581086730957031250e+01,7.157118320465087891e+00
-9.706433296203613281e+00,1.390619945526123047e+01,2.527194261550903320e+00
1.209675121307373047e+01,1.706224441528320312e+01,8.780170083045959473e-01
1.424076271057128906e+01,1.881803894042968750e+01,7.828551292419433594e+00
5.405546188354492188e+00,6.248597621917724609e+00,-2.219538450241088867e+00
1.606984138488769531e+00,7.562579154968261719e+00,4.532165527343750000e+00
1.529523086547851562e+01,-1.165162944793701172e+01,5.956092357635498047e+00
-2.681823253631591797e+00,2.894946746528148651e-02,1.387388801574707031e+01
1.386907672882080078e+01,-4.496208667755126953e+00,-1.458451461791992188e+01
-2.826195240020751953e+00,-1.277541828155517578e+01,-9.010752677917480469e+00
-1.522171878814697266e+01,4.097661018371582031e+00,-7.684823036193847656e+00
-6.167404174804687500e+00,1.388141822814941406e+01,-1.467317485809326172e+01
-6.558288335800170898e-01,9.200783729553222656e+00,4.067478179931640625e+00
-5.230241298675537109e+00,1.097739505767822266e+01,-5.193600654602050781e+00
2.515282869338989258e+00,1.802468490600585938e+01,1.224814414978027344e+00
1.640714263916015625e+01,-6.586179256439208984e+00,1.172464084625244141e+01
-5.948287963867187500e+00,1.411296844482421875e+01,-1.477151489257812500e+01
2.183792829513549805e+00,7.539857864379882812e+00,-1.304180383682250977e+00
-1.035653781890869141e+01,-8.519303321838378906e+00,-7.954092025756835938e+00
-9.361781179904937744e-02,1.751241493225097656e+01,1.259746932983398438e+01
4.433115959167480469e+00,-1.511033630371093750e+01,7.977590084075927734e+00
6.518639564514160156e+00,2.903186798095703125e+00,9.117042541503906250e+00
-2.205500155687332153e-01,1.738199806213378906e+01,1.232971763610839844e+01
1.449694156646728516e+00,7.383483886718750000e+00,3.955192565917968750e+00
1.557497119903564453e+01,1.307310962677001953e+01,-4.693612575531005859e+00
4.222762107849121094e+00,6.342422962188720703e+00,-1.773563575744628906e+01
-1.686950683593750000e+01,1.086752986907958984e+01,-2.894875049591064453e+00
1.965747451782226562e+01,2.577311754226684570e+00,-1.444233036041259766e+01
1.529697227478027344e+01,-1.165350532531738281e+01,5.954222679138183594e+00
4.859911918640136719e+00,1.581089401245117188e+01,7.157012939453125000e+00
8.722404837608337402e-01,3.411236763000488281e+00,-1.030319333076477051e+00
4.434368610382080078e+00,-1.511168479919433594e+01,7.976289749145507812e+00
2.108248329162597656e+01,8.053585052490234375e+00,8.826345443725585938e+00
7.396900653839111328e+00,7.243825912475585938e+00,8.520193099975585938e+00
-2.548728227615356445e+00,-7.622851431369781494e-02,1.436945056915283203e+01
1.403448772430419922e+01,4.329124927520751953e+00,-1.270422554016113281e+01
2.961421251296997070e+00,3.140138864517211914e+00,-5.137641906738281250e+00
-4.254007935523986816e-01,1.101438903808593750e+01,1.762866783142089844e+01
3.882795333862304688e+00,5.115894794464111328e+00,-2.052581548690795898e+00
2.205664634704589844e+01,9.102639198303222656e+00,-7.182086467742919922e+00
2.108198356628417969e+01,8.054096221923828125e+00,8.826852798461914062e+00
-1.201512241363525391e+01,5.060470104217529297e-01,1.043290615081787109e+01
1.194003224372863770e+00,6.414133071899414062e+00,2.618327140808105469e+00
-1.073751068115234375e+01,-5.558205127716064453e+00,1.088868904113769531e+01
9.798742294311523438e+00,-8.856508255004882812e+00,-9.198514938354492188e+00
-1.522252464294433594e+01,4.096827030181884766e+00,-7.684082031250000000e+00
2.178663444519042969e+01,-4.067641735076904297e+00,-1.082720398902893066e+00
1.897717285156250000e+01,5.683269977569580078e+00,-2.542783498764038086e+00
1.383499908447265625e+01,4.640918731689453125e+00,-1.261044788360595703e+01
-9.564886093139648438e+00,1.374263095855712891e+01,2.622797250747680664e+00
-2.759659051895141602e+00,-7.732975482940673828e+00,9.367078781127929688e+00
-9.506597518920898438e-01,1.244671344757080078e+00,2.249590873718261719e+01
-2.389218330383300781e+00,3.566799461841583252e-01,1.455267429351806641e+01
-2.585988998413085938e+00,6.838303804397583008e-02,1.429802131652832031e+01
8.438751220703125000e+00,-1.448014545440673828e+01,1.920988440513610840e+00
-7.069765090942382812e+00,8.380455017089843750e+00,1.187796783447265625e+01
-1.687100219726562500e+01,1.086896991729736328e+01,-2.896218061447143555e+00
1.017665576934814453e+01,-1.367479896545410156e+01,-4.200817108154296875e+00
-2.676954984664916992e+00,2.974726073443889618e-02,1.388722229003906250e+01
9.784145355224609375e+00,-3.517772912979125977e+00,8.052843093872070312e+00
6.738971233367919922e+00,-7.232573986053466797e+00,-6.547036767005920410e-02
8.576944351196289062e+00,1.775961494445800781e+01,-4.180367946624755859e+00
2.770872831344604492e+00,6.377528667449951172e+00,2.721109867095947266e+00
9.782383918762207031e+00,-3.518078804016113281e+00,8.051073074340820312e+00
2.205536460876464844e+01,9.101316452026367188e+00,-7.183387279510498047e+00
5.533085823059082031e+00,-5.308332920074462891e+00,-1.694494438171386719e+01
7.397128582000732422e+00,7.244051933288574219e+00,8.520761489868164062e+00
-4.142277240753173828e-01,1.099734210968017578e+01,1.756927871704101562e+01
3.014233112335205078e+00,3.065080165863037109e+00,-5.238881111145019531e+00
-1.686887359619140625e+01,1.086693954467773438e+01,-2.896135091781616211e+00
-9.577343940734863281e+00,1.373356723785400391e+01,2.600076198577880859e+00
1.536777257919311523e+00,2.331288146972656250e+01,-6.987942218780517578e+00
1.483483409881591797e+01,-8.440872192382812500e+00,-5.925780773162841797e+00
-1.113711166381835938e+01,-1.181668266654014587e-01,-4.694912910461425781e+00
1.386396884918212891e+01,1.856530380249023438e+01,7.726740360260009766e+00
1.209747600555419922e+01,1.706147003173828125e+01,8.787899613380432129e-01
6.535832881927490234e+00,8.706638813018798828e-01,-1.702401351928710938e+01
9.782466888427734375e+00,-3.517558336257934570e+00,8.051616668701171875e+00
-1.872409248352050781e+01,2.103114366531372070e+00,-1.267657756805419922e+00
2.330909490585327148e+00,6.101464748382568359e+00,-2.418344736099243164e+00
1.529801464080810547e+01,-1.165339660644531250e+01,5.955147743225097656e+00
2.367201566696166992e+00,3.821152925491333008e+00,-4.381483078002929688e+00
3.006696224212646484e+00,3.072271347045898438e+00,-5.238510131835937500e+00
5.491872310638427734e+00,1.892639398574829102e+00,-4.308395385742187500e+00
-1.159190559387207031e+01,5.416129112243652344e+00,1.463319206237792969e+01
2.093354415893554688e+01,1.075571346282958984e+01,2.526479482650756836e+00
1.556469917297363281e+01,1.306765842437744141e+01,-4.710983753204345703e+00
2.517599105834960938e+00,1.802278137207031250e+01,1.226334810256958008e+00
2.690896511077880859e+00,1.764635086059570312e+01,1.351111650466918945e+00
-1.035647678375244141e+01,-8.519251823425292969e+00,-7.954139232635498047e+00
2.519938945770263672e+00,1.802198600769042969e+01,1.226669788360595703e+00
2.645804643630981445e+00,1.773365020751953125e+01,1.338525414466857910e+00
-2.239576578140258789e+00,4.498401284217834473e-02,1.424342250823974609e+01
1.897756004333496094e+01,5.683328151702880859e+00,-2.543208360671997070e+00
2.108147621154785156e+01,8.054629325866699219e+00,8.827391624450683594e+00
4.065594673156738281e+00,1.418878173828125000e+01,1.336489796638488770e+00
-5.928355693817138672e+00,1.414578533172607422e+01,-1.484923267364501953e+01
-2.042963027954101562e+00,6.325003147125244141e+00,-4.282434463500976562e+00
1.408838272094726562e+01,-2.165247917175292969e+00,1.471340465545654297e+01
-8.341711759567260742e-01,9.288674354553222656e+00,3.889361858367919922e+00
1.197102308273315430e+00,2.905360937118530273e+00,8.521481752395629883e-01
1.529950523376464844e+01,-1.165484619140625000e+01,5.953645229339599609e+00
1.499292612075805664e+00,2.336193084716796875e+01,-7.046010494232177734e+00
-7.422424554824829102e-01,6.054112911224365234e+00,1.225317791104316711e-01
-6.354190349578857422e+00,-6.854935169219970703e+00,2.890539884567260742e+00
-1.686927032470703125e+01,1.086712169647216797e+01,-2.896398067474365234e+00
1.965875625610351562e+01,2.578556060791015625e+00,-1.444142627716064453e+01
1.570173621177673340e+00,2.328306388854980469e+01,-6.985425472259521484e+00
-1.339297676086425781e+01,4.397725582122802734e+00,1.963747382164001465e+00
2.108149909973144531e+01,8.054777145385742188e+00,8.827384948730468750e+00
1.897760772705078125e+01,5.683300971984863281e+00,-2.543247222900390625e+00
2.108109092712402344e+01,8.055335998535156250e+00,8.826705932617187500e+00
-6.354800701141357422e+00,-6.854420185089111328e+00,2.891099929809570312e+00
-2.391590833663940430e+00,3.534187376499176025e-01,1.454998111724853516e+01
2.590598106384277344e+00,1.779770278930664062e+01,1.335804224014282227e+00
-2.547983884811401367e+00,2.592841722071170807e-02,1.428773498535156250e+01
1.379524707794189453e+01,1.861865043640136719e+01,7.534871578216552734e+00
1.539279103279113770e+00,2.330834007263183594e+01,-6.994639873504638672e+00
-5.578567385673522949e-01,1.088550567626953125e+01,1.765803718566894531e+01
-1.180539703369140625e+01,1.059628391265869141e+01,-8.059816360473632812e+00
5.294034481048583984e+00,-6.173203945159912109e+00,1.468407821655273438e+01
-7.129458785057067871e-01,1.072760009765625000e+01,1.764296722412109375e+01
1.046942234039306641e+01,9.467076301574707031e+00,1.169762897491455078e+01
7.251701354980468750e-01,1.243134593963623047e+01,-2.366337060928344727e+00
